Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Phase1
8.0000	19.600	226.21	0.0044208	0.043755	0.39057	-3.0479	8.9416	10.522	701.72	-1.5357	2.4310e-05	0.080230	supercritical
8.0000	20.100	227.39	0.0043978	0.044822	0.39863	-3.1429	8.9062	10.464	708.07	-1.5385	2.5166e-05	0.081300	supercritical
6.0000	0.10000	9.0147	0.11093	0.087404	0.13180	29.478	12.538	24.028	136.81	6.0612	1.5792e-06	0.011735	vapor
6.0000	0.60000	111.90	0.0089367	0.020825	0.042287	4.9888	10.844	29.850	190.10	0.56691	3.2022e-06	0.022218	vapor
6.0000	0.60000	111.90	0.0089367	0.020825	0.042287	4.9888	10.844	29.850	190.10	0.56691	3.2022e-06	0.022218	supercritical
6.0000	0.60000	111.90	0.0089367	0.020825	0.042287	4.9888	10.844	29.850	190.10	0.56691	3.2022e-06	0.022218	supercritical
6.0000	1.1000	133.71	0.0074789	0.010978	0.043906	2.5747	10.397	18.807	253.89	-0.64490	4.0344e-06	0.025789	supercritical
6.0000	1.6000	144.89	0.0069020	0.0071261	0.051327	1.4226	10.138	15.926	293.46	-1.0445	4.6707e-06	0.028383	supercritical
6.0000	2.1000	152.80	0.0065446	0.0050715	0.060082	0.64290	9.9172	14.455	324.21	-1.2556	5.2519e-06	0.030504	supercritical
6.0000	2.6000	159.05	0.0062872	0.0039057	0.069336	0.047150	9.7217	13.510	349.96	-1.3900	5.8128e-06	0.032357	supercritical
6.0000	3.1000	164.29	0.0060870	0.0032737	0.078801	-0.43772	9.5460	12.827	372.40	-1.4848	6.3681e-06	0.034036	supercritical
6.0000	3.6000	168.82	0.0059235	0.0029989	0.088353	-0.84802	9.3866	12.299	392.44	-1.5563	6.9258e-06	0.035590	supercritical
6.0000	4.1000	172.84	0.0057857	0.0029801	0.097927	-1.2046	9.2407	11.871	410.62	-1.6128	7.4911e-06	0.037050	supercritical
6.0000	4.6000	176.47	0.0056667	0.0031537	0.10749	-1.5204	9.1063	11.512	427.34	-1.6589	8.0673e-06	0.038435	supercritical
6.0000	5.1000	179.79	0.0055622	0.0034773	0.11702	-1.8043	8.9817	11.205	442.84	-1.6975	8.6572e-06	0.039760	supercritical
6.0000	5.6000	182.85	0.0054690	0.0039209	0.12651	-2.0625	8.8657	10.938	457.34	-1.7305	9.2629e-06	0.041033	supercritical
6.0000	6.1000	185.70	0.0053851	0.0044626	0.13595	-2.2994	8.7573	10.701	470.98	-1.7591	9.8863e-06	0.042264	supercritical
6.0000	6.6000	188.37	0.0053088	0.0050859	0.14533	-2.5185	8.6556	10.489	483.88	-1.7843	1.0529e-05	0.043458	supercritical
6.0000	7.1000	190.88	0.0052389	0.0057780	0.15466	-2.7225	8.5599	10.298	496.14	-1.8066	1.1192e-05	0.044619	supercritical
6.0000	7.6000	193.26	0.0051744	0.0065289	0.16393	-2.9135	8.4697	10.123	507.83	-1.8266	1.1877e-05	0.045751	supercritical
6.0000	8.1000	195.52	0.0051146	0.0073304	0.17315	-3.0930	8.3844	9.9641	519.01	-1.8445	1.2585e-05	0.046857	supercritical
6.0000	8.6000	197.67	0.0050588	0.0081761	0.18231	-3.2626	8.3035	9.8174	529.74	-1.8608	1.3318e-05	0.047941	supercritical
6.0000	9.1000	199.74	0.0050066	0.0090603	0.19142	-3.4234	8.2269	9.6818	540.07	-1.8756	1.4076e-05	0.049004	supercritical
6.0000	9.6000	201.71	0.0049576	0.0099786	0.20047	-3.5762	8.1540	9.5560	550.02	-1.8892	1.4862e-05	0.050048	supercritical
6.0000	10.100	203.61	0.0049113	0.010927	0.20947	-3.7220	8.0847	9.4388	559.64	-1.9015	1.5675e-05	0.051074	supercritical
6.0000	10.600	205.44	0.0048676	0.011902	0.21842	-3.8615	8.0186	9.3293	568.95	-1.9129	1.6517e-05	0.052085	supercritical
6.0000	11.100	207.21	0.0048261	0.012902	0.22732	-3.9951	7.9556	9.2268	577.98	-1.9233	1.7390e-05	0.053081	supercritical
6.0000	11.600	208.92	0.0047866	0.013923	0.23617	-4.1235	7.8954	9.1306	586.74	-1.9328	1.8294e-05	0.054063	supercritical
6.0000	12.100	210.57	0.0047490	0.014964	0.24497	-4.2471	7.8380	9.0402	595.26	-1.9416	1.9232e-05	0.055032	supercritical
6.0000	12.600	212.17	0.0047132	0.016022	0.25372	-4.3663	7.7830	8.9550	603.56	-1.9497	2.0203e-05	0.055990	supercritical
6.0000	13.100	213.73	0.0046788	0.017096	0.26243	-4.4814	7.7304	8.8747	611.64	-1.9571	2.1210e-05	0.056937	supercritical
6.0000	13.600	215.24	0.0046459	0.018185	0.27109	-4.5928	7.6801	8.7988	619.52	-1.9639	2.2254e-05	0.057873	supercritical
6.0000	14.100	216.71	0.0046144	0.019288	0.27971	-4.7008	7.6319	8.7271	627.22	-1.9701	2.3335e-05	0.058799	supercritical
6.0000	14.600	218.15	0.0045840	0.020402	0.28828	-4.8055	7.5857	8.6592	634.74	-1.9758	2.4457e-05	0.059716	supercritical
6.0000	15.100	219.55	0.0045548	0.021528	0.29682	-4.9073	7.5414	8.5949	642.09	-1.9810	2.5619e-05	0.060625	supercritical
6.0000	15.600	220.91	0.0045266	0.022663	0.30531	-5.0064	7.4989	8.5340	649.29	-1.9857	2.6824e-05	0.061525	supercritical
6.0000	16.100	222.25	0.0044995	0.023809	0.31376	-5.1028	7.4581	8.4762	656.33	-1.9899	2.8072e-05	0.062418	supercritical
6.0000	16.600	223.55	0.0044732	0.024962	0.32218	-5.1969	7.4190	8.4213	663.24	-1.9937	2.9366e-05	0.063303	supercritical
6.0000	17.100	224.83	0.0044478	0.026124	0.33055	-5.2887	7.3814	8.3693	670.01	-1.9971	3.0708e-05	0.064182	supercritical
6.0000	17.600	226.08	0.0044232	0.027293	0.33889	-5.3784	7.3454	8.3199	676.65	-2.0000	3.2098e-05	0.065053	supercritical
6.0000	18.100	227.30	0.0043994	0.028469	0.34719	-5.4661	7.3108	8.2729	683.17	-2.0026	3.3539e-05	0.065919	supercritical
6.0000	18.600	228.50	0.0043763	0.029652	0.35546	-5.5520	7.2775	8.2284	689.57	-2.0049	3.5032e-05	0.066778	supercritical
6.0000	19.100	229.68	0.0043538	0.030840	0.36369	-5.6361	7.2456	8.1861	695.85	-2.0067	3.6580e-05	0.067632	supercritical
6.0000	19.600	230.84	0.0043320	0.032033	0.37189	-5.7186	7.2149	8.1459	702.03	-2.0083	3.8184e-05	0.068481	supercritical
6.0000	20.100	231.97	0.0043108	0.033232	0.38005	-5.7995	7.1855	8.1078	708.11	-2.0094	3.9846e-05	0.069324	supercritical
20.000	0.10000	2.4111	0.41474	0.26762	0.43363	55.713	12.475	20.990	263.95	1.0814	3.5816e-06	0.026198	vapor
20.000	0.60000	14.548	0.068739	0.25764	0.42272	40.331	12.492	22.010	269.10	0.94719	3.7802e-06	0.027607	vapor
20.000	0.60000	14.548	0.068739	0.25764	0.42272	40.331	12.492	22.010	269.10	0.94719	3.7802e-06	0.027607	supercritical
20.000	0.60000	14.548	0.068739	0.25764	0.42272	40.331	12.492	22.010	269.10	0.94719	3.7802e-06	0.027607	supercritical
20.000	1.1000	26.661	0.037507	0.24783	0.41297	34.842	12.507	22.947	276.38	0.78068	3.9755e-06	0.029456	supercritical
20.000	1.6000	38.455	0.026004	0.23851	0.40504	31.342	12.521	23.625	286.11	0.57691	4.1660e-06	0.031343	supercritical
20.000	2.1000	49.637	0.020146	0.23002	0.39936	28.777	12.530	24.018	297.67	0.38384	4.3501e-06	0.033133	supercritical
20.000	2.6000	60.072	0.016647	0.22244	0.39568	26.765	12.538	24.248	310.11	0.23289	4.5284e-06	0.034811	supercritical
20.000	3.1000	69.753	0.014336	0.21569	0.39358	25.117	12.548	24.384	323.05	0.11620	4.7025e-06	0.036409	supercritical
20.000	3.6000	78.698	0.012707	0.20968	0.39278	23.729	12.562	24.414	336.45	0.017277	4.8739e-06	0.037965	supercritical
20.000	4.1000	86.930	0.011504	0.20434	0.39312	22.537	12.580	24.335	350.22	-0.070964	5.0429e-06	0.039509	supercritical
20.000	4.6000	94.486	0.010584	0.19960	0.39446	21.501	12.599	24.174	364.13	-0.14925	5.2101e-06	0.041058	supercritical
20.000	5.1000	101.42	0.0098600	0.19541	0.39668	20.591	12.620	23.962	378.01	-0.21768	5.3755e-06	0.042623	supercritical
20.000	5.6000	107.79	0.0092769	0.19170	0.39964	19.782	12.640	23.722	391.75	-0.27723	5.5395e-06	0.044209	supercritical
