Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Phase1	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Phase2
3.7768	0.064546	132.21	0.0075635	-0.010233	-0.0082785	-1.7808	9.0590	15.262	199.07	-0.99422	3.3778e-06	0.018187	0.00013399	liquid	10.813	0.092481	0.057818	0.081711	22.046	12.688	30.291	99.711	12.185	1.0652e-06	0.0077575	vapor
3.8268	0.068116	131.48	0.0076058	-0.0095251	-0.0074515	-1.5918	9.1237	15.718	197.08	-0.91265	3.3544e-06	0.018254	0.00012885	liquid	11.381	0.087868	0.057960	0.081916	21.761	12.707	30.915	99.891	12.061	1.0842e-06	0.0078890	vapor
3.8768	0.071816	130.72	0.0076500	-0.0088012	-0.0066022	-1.4006	9.1887	16.203	195.02	-0.82919	3.3307e-06	0.018317	0.00012370	liquid	11.973	0.083520	0.058083	0.082091	21.477	12.728	31.588	100.05	11.939	1.1034e-06	0.0080229	vapor
3.9268	0.075650	129.94	0.0076962	-0.0080600	-0.0057296	-1.2072	9.2540	16.720	192.89	-0.74361	3.3066e-06	0.018374	0.00011857	liquid	12.592	0.079417	0.058186	0.082234	21.194	12.749	32.315	100.20	11.819	1.1230e-06	0.0081595	vapor
3.9768	0.079620	129.12	0.0077445	-0.0073009	-0.0048328	-1.0113	9.3197	17.273	190.68	-0.65565	3.2822e-06	0.018427	0.00011345	liquid	13.238	0.075540	0.058268	0.082342	20.910	12.772	33.105	100.32	11.700	1.1429e-06	0.0082992	vapor
4.0268	0.083729	128.29	0.0077951	-0.0065228	-0.0039104	-0.81272	9.3858	17.867	188.41	-0.56501	3.2573e-06	0.018475	0.00010834	liquid	13.914	0.071872	0.058328	0.082415	20.625	12.796	33.965	100.42	11.583	1.1631e-06	0.0084423	vapor
4.0768	0.087980	127.42	0.0078483	-0.0057250	-0.0029612	-0.61129	9.4527	18.508	186.05	-0.47137	3.2321e-06	0.018518	0.00010325	liquid	14.621	0.068397	0.058364	0.082449	20.339	12.821	34.904	100.51	11.467	1.1837e-06	0.0085893	vapor
4.1268	0.092375	126.52	0.0079041	-0.0049062	-0.0019837	-0.40676	9.5204	19.202	183.61	-0.37438	3.2065e-06	0.018556	9.8175e-05	liquid	15.361	0.065100	0.058374	0.082444	20.052	12.849	35.935	100.57	11.351	1.2046e-06	0.0087408	vapor
4.1768	0.096917	125.58	0.0079629	-0.0040652	-0.00097619	-0.19884	9.5892	19.958	181.09	-0.27361	3.1804e-06	0.018591	9.3124e-05	liquid	16.137	0.061968	0.058358	0.082397	19.762	12.878	37.071	100.62	11.236	1.2260e-06	0.0088975	vapor
4.2268	0.10161	124.61	0.0080250	-0.0032007	6.3153e-05	0.012778	9.6593	20.784	178.47	-0.16863	3.1539e-06	0.018621	8.8098e-05	liquid	16.953	0.058988	0.058313	0.082304	19.470	12.909	38.330	100.65	11.120	1.2479e-06	0.0090601	vapor
4.2768	0.10646	123.60	0.0080907	-0.0023111	0.0011364	0.22844	9.7312	21.694	175.75	-0.058901	3.1268e-06	0.018647	8.3099e-05	liquid	17.810	0.056150	0.058238	0.082163	19.174	12.943	39.732	100.65	11.003	1.2702e-06	0.0092295	vapor
