Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
119.31	1.1672	1168.8	0.00085561	-3.2068	-3.1669	69.458	18.320	52.805	590.39	-0.049926	112.10	0.084030	0.0052053	liquid
119.81	1.2001	1164.5	0.00085875	-3.1816	-3.1404	69.671	18.292	53.105	585.93	-0.038994	110.76	0.083379	0.0051018	liquid
120.31	1.2337	1160.2	0.00086193	-3.1562	-3.1137	69.883	18.265	53.416	581.44	-0.027755	109.43	0.082730	0.0049988	liquid
120.81	1.2679	1155.8	0.00086517	-3.1307	-3.0869	70.096	18.239	53.737	576.92	-0.016197	108.11	0.082083	0.0048961	liquid
121.31	1.3028	1151.5	0.00086846	-3.1051	-3.0599	70.309	18.213	54.070	572.38	-0.0043075	106.81	0.081437	0.0047940	liquid
121.81	1.3384	1147.1	0.00087180	-3.0794	-3.0328	70.522	18.189	54.414	567.80	0.0079267	105.52	0.080793	0.0046922	liquid
122.31	1.3747	1142.6	0.00087520	-3.0536	-3.0055	70.735	18.166	54.771	563.20	0.020519	104.25	0.080150	0.0045909	liquid
122.81	1.4116	1138.1	0.00087865	-3.0276	-2.9781	70.948	18.143	55.141	558.56	0.033485	102.98	0.079508	0.0044900	liquid
123.31	1.4493	1133.6	0.00088217	-3.0016	-2.9505	71.161	18.121	55.525	553.89	0.046838	101.73	0.078869	0.0043896	liquid
123.81	1.4877	1129.0	0.00088574	-2.9754	-2.9228	71.375	18.101	55.923	549.19	0.060597	100.49	0.078230	0.0042896	liquid
124.31	1.5268	1124.4	0.00088939	-2.9491	-2.8949	71.589	18.081	56.337	544.46	0.074777	99.257	0.077593	0.0041901	liquid
124.81	1.5667	1119.7	0.00089309	-2.9227	-2.8668	71.803	18.063	56.767	539.69	0.089398	98.036	0.076958	0.0040911	liquid
125.31	1.6072	1115.0	0.00089687	-2.8961	-2.8385	72.017	18.045	57.214	534.89	0.10448	96.826	0.076323	0.0039925	liquid
125.81	1.6485	1110.2	0.00090071	-2.8694	-2.8100	72.232	18.029	57.679	530.05	0.12004	95.625	0.075691	0.0038945	liquid
126.31	1.6906	1105.4	0.00090464	-2.8425	-2.7814	72.447	18.014	58.163	525.18	0.13610	94.432	0.075059	0.0037969	liquid
126.81	1.7334	1100.6	0.00090863	-2.8155	-2.7525	72.663	18.000	58.668	520.26	0.15269	93.249	0.074429	0.0036998	liquid
127.31	1.7770	1095.6	0.00091271	-2.7883	-2.7235	72.879	17.987	59.195	515.31	0.16983	92.073	0.073801	0.0036032	liquid
127.81	1.8214	1090.7	0.00091687	-2.7609	-2.6942	73.096	17.976	59.745	510.32	0.18755	90.905	0.073173	0.0035072	liquid
128.31	1.8665	1085.6	0.00092112	-2.7334	-2.6647	73.313	17.966	60.319	505.28	0.20587	89.744	0.072547	0.0034116	liquid
128.81	1.9125	1080.5	0.00092546	-2.7057	-2.6350	73.531	17.958	60.920	500.20	0.22482	88.590	0.071921	0.0033166	liquid
129.31	1.9592	1075.4	0.00092989	-2.6779	-2.6051	73.750	17.951	61.549	495.08	0.24444	87.442	0.071297	0.0032222	liquid
129.81	2.0068	1070.2	0.00093442	-2.6498	-2.5749	73.969	17.946	62.207	489.90	0.26477	86.301	0.070674	0.0031282	liquid
130.31	2.0551	1064.9	0.00093906	-2.6216	-2.5445	74.189	17.943	62.899	484.69	0.28583	85.164	0.070052	0.0030349	liquid
130.81	2.1043	1059.5	0.00094380	-2.5931	-2.5138	74.410	17.941	63.624	479.42	0.30767	84.033	0.069431	0.0029421	liquid
131.31	2.1544	1054.1	0.00094866	-2.5644	-2.4828	74.632	17.941	64.387	474.10	0.33033	82.907	0.068810	0.0028499	liquid
131.81	2.2053	1048.6	0.00095363	-2.5355	-2.4515	74.855	17.944	65.191	468.73	0.35386	81.785	0.068191	0.0027583	liquid
132.31	2.2570	1043.0	0.00095873	-2.5064	-2.4199	75.079	17.948	66.037	463.31	0.37830	80.666	0.067571	0.0026673	liquid
132.81	2.3096	1037.4	0.00096397	-2.4770	-2.3881	75.305	17.954	66.931	457.83	0.40371	79.552	0.066953	0.0025769	liquid
133.31	2.3631	1031.6	0.00096934	-2.4474	-2.3559	75.531	17.963	67.875	452.30	0.43015	78.440	0.066335	0.0024872	liquid
133.81	2.4174	1025.8	0.00097485	-2.4175	-2.3233	75.759	17.974	68.875	446.70	0.45768	77.331	0.065717	0.0023981	liquid
134.31	2.4727	1019.9	0.00098052	-2.3873	-2.2905	75.988	17.987	69.936	441.05	0.48636	76.223	0.065100	0.0023096	liquid
134.81	2.5288	1013.8	0.00098635	-2.3568	-2.2572	76.219	18.004	71.062	435.33	0.51627	75.118	0.064482	0.0022218	liquid
135.31	2.5859	1007.7	0.00099236	-2.3261	-2.2235	76.451	18.022	72.261	429.56	0.54749	74.014	0.063865	0.0021347	liquid
