Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
357.00	1.5924	598.05	0.0016721	3.2534	3.2764	9.3531	171.07	219.58	816.71	-0.024816	176.21	0.10389	0.011926	4.9545	0.20184	28.368	31.138	87.397	160.49	172.25	178.98	2.8045	7.4305	0.018929
358.00	1.6382	597.02	0.0016750	3.4728	3.4964	9.9668	171.43	220.03	812.37	-0.024494	174.76	0.10365	0.011829	5.0897	0.19647	28.515	31.289	87.598	160.94	172.78	178.98	2.7830	7.4519	0.019024
359.00	1.6849	595.98	0.0016779	3.6926	3.7169	10.580	171.78	220.48	808.04	-0.024168	173.33	0.10341	0.011732	5.2279	0.19128	28.662	31.439	87.801	161.39	173.31	178.98	2.7618	7.4734	0.019119
360.00	1.7327	594.94	0.0016808	3.9128	3.9379	11.193	172.13	220.93	803.70	-0.023839	171.91	0.10317	0.011634	5.3690	0.18625	28.809	31.590	88.004	161.84	173.85	178.97	2.7409	7.4950	0.019214
361.00	1.7815	593.90	0.0016838	4.1334	4.1593	11.805	172.49	221.38	799.37	-0.023506	170.51	0.10293	0.011537	5.5131	0.18138	28.956	31.741	88.208	162.29	174.38	178.96	2.7204	7.5168	0.019310
362.00	1.8314	592.85	0.0016868	4.3545	4.3811	12.417	172.84	221.83	795.04	-0.023169	169.12	0.10269	0.011440	5.6603	0.17667	29.104	31.892	88.413	162.75	174.92	178.95	2.7002	7.5387	0.019406
363.00	1.8823	591.80	0.0016898	4.5760	4.6035	13.028	173.20	222.29	790.71	-0.022828	167.74	0.10245	0.011344	5.8105	0.17210	29.251	32.043	88.619	163.20	175.46	178.93	2.6803	7.5608	0.019502
364.00	1.9344	590.75	0.0016928	4.7980	4.8262	13.639	173.55	222.74	786.39	-0.022483	166.38	0.10222	0.011247	5.9638	0.16768	29.399	32.194	88.826	163.65	176.01	178.91	2.6607	7.5831	0.019598
365.00	1.9875	589.69	0.0016958	5.0204	5.0495	14.249	173.91	223.20	782.06	-0.022134	165.03	0.10198	0.011151	6.1204	0.16339	29.547	32.346	89.033	164.11	176.55	178.88	2.6414	7.6055	0.019695
366.00	2.0417	588.63	0.0016989	5.2433	5.2732	14.859	174.26	223.66	777.74	-0.021780	163.69	0.10174	0.011054	6.2801	0.15923	29.696	32.497	89.242	164.56	177.10	178.85	2.6225	7.6282	0.019792
